CustomerID,Recency,Frequency,Quantity,Monetary,AverageOrderValue,Churn,PredictedChurn
12346.0,325,1,74215,77183.6,77183.6,1,1
12347.0,1,7,2458,4310.0,615.7142857142857,0,0
12348.0,74,4,2341,1797.24,449.31,0,0
12349.0,18,1,631,1757.55,1757.55,0,0
12350.0,309,1,197,334.4,334.4,1,1
12352.0,35,8,536,2506.04,313.255,0,0
12353.0,203,1,20,89.0,89.0,1,1
12354.0,231,1,530,1079.4,1079.4,1,1
12355.0,213,1,240,459.4,459.4,1,1
12356.0,22,3,1591,2811.43,937.1433333333333,0,0
12357.0,32,1,2708,6207.67,6207.67,0,0
12358.0,1,2,248,1168.06,584.03,0,0
12359.0,57,4,1609,6310.03,1577.5075,0,0
12360.0,51,3,1165,2662.06,887.3533333333334,0,0
12361.0,286,1,91,189.9,189.9,1,1
12362.0,2,10,2229,5226.23,522.6229999999999,0,0
12363.0,109,2,408,552.0,276.0,1,1
12364.0,7,4,1506,1313.1,328.275,0,0
12365.0,290,2,174,641.38,320.69,1,1
12367.0,3,1,173,168.9,168.9,0,0
12370.0,50,4,2352,3541.94,885.485,0,0
12371.0,44,2,591,1887.96,943.98,0,0
12372.0,71,3,794,1298.04,432.68,0,0
12373.0,310,1,197,364.6,364.6,1,1
12374.0,24,1,342,742.9300000000001,742.9300000000001,0,0
12375.0,10,2,178,457.5,228.75,0,0
12377.0,314,2,944,1628.12,814.06,1,1
12378.0,129,1,2529,4008.62,4008.62,1,1
12379.0,81,2,407,852.24,426.12,0,0
12380.0,21,4,1127,2724.81,681.2025,0,0
12381.0,4,5,808,1845.31,369.062,0,0
12383.0,184,5,1532,1850.56,370.11199999999997,1,1
12384.0,28,2,126,585.27,292.635,0,0
12386.0,337,2,354,401.9,200.95,1,1
12388.0,15,6,1462,2780.66,463.4433333333333,0,0
12390.0,79,1,353,549.84,549.84,0,0
12391.0,21,1,293,439.66,439.66,0,0
12393.0,71,4,816,1582.6000000000001,395.65000000000003,0,0
12394.0,63,2,819,1272.48,636.24,0,0
12395.0,18,12,2118,3018.63,251.5525,0,0
12397.0,35,2,1263,2409.9,1204.95,0,0
12398.0,45,1,1394,1635.6599999999999,1635.6599999999999,0,0
12399.0,118,4,1178,1108.65,277.1625,1,1
12401.0,302,1,11,84.3,84.3,1,1
12402.0,322,1,94,225.6,225.6,1,1
12403.0,49,1,96,427.7,427.7,0,0
12405.0,148,1,857,1710.39,1710.39,1,1
12406.0,21,2,1818,3415.3,1707.65,0,0
12407.0,49,5,1416,1708.1200000000001,341.624,0,0
12408.0,32,5,1409,2888.55,577.71,0,0
12409.0,78,3,5551,11072.67,3690.89,0,0
12410.0,308,2,211,693.3299999999999,346.66499999999996,1,1
12412.0,74,3,829,1226.88,408.96000000000004,0,0
12413.0,66,3,286,758.1,252.70000000000002,0,0
12414.0,216,3,300,562.41,187.47,1,1
12415.0,23,21,77374,124914.53,5948.310952380953,0,0
12417.0,2,9,1552,3649.1,405.4555555555555,0,0
12418.0,112,1,407,668.58,668.58,1,1
12420.0,63,1,345,600.39,600.39,0,0
12421.0,15,4,484,807.04,201.76,0,0
12422.0,95,3,370,803.5600000000001,267.85333333333335,1,1
12423.0,0,8,1339,1859.31,232.41375,0,0
12424.0,162,2,740,1760.96,880.48,1,1
12425.0,77,1,496,777.2,777.2,0,0
12426.0,194,1,258,582.73,582.73,1,1
12427.0,21,3,533,825.8,275.26666666666665,0,0
12428.0,25,9,3536,7956.46,884.0511111111111,0,0
12429.0,8,4,1557,3750.4,937.6,0,0
12430.0,42,1,117,256.4,256.4,0,0
12431.0,35,15,2896,6419.95,427.99666666666667,0,0
12432.0,42,5,1801,5059.32,1011.8639999999999,0,0
12433.0,0,7,11071,13375.87,1910.8385714285716,0,0
12434.0,84,2,394,806.14,403.07,0,0
12435.0,79,2,2055,7829.89,3914.945,0,0
12436.0,99,1,211,509.01,509.01,1,1
12437.0,1,18,2922,4951.41,275.0783333333333,0,0
12438.0,13,2,1180,2906.85,1453.425,0,0
12441.0,366,1,121,173.55,173.55,1,1
12442.0,2,1,182,172.06,172.06,0,0
12444.0,20,5,1153,5005.46,1001.092,0,0
12445.0,21,1,62,133.4,133.4,0,0
12446.0,57,1,351,1002.3100000000001,1002.3100000000001,0,0
12447.0,242,1,190,476.49,476.49,1,1
12448.0,43,1,243,449.45,449.45,0,0
12449.0,21,4,1553,4067.29,1016.8225,0,0
12450.0,155,2,128,197.88,98.94,1,1
12451.0,10,5,6575,9035.52,1807.104,0,0
12452.0,16,2,185,430.57,215.285,0,0
12453.0,133,1,473,707.09,707.09,1,1
12454.0,55,1,1006,3528.34,3528.34,0,0
12455.0,72,6,2089,2466.86,411.1433333333334,0,0
12456.0,43,3,1633,3181.04,1060.3466666666666,0,0
12457.0,65,7,843,2363.23,337.6042857142857,0,0
12458.0,70,2,506,947.4,473.7,0,0
12461.0,93,2,287,826.88,413.44,1,1
12462.0,18,2,536,1189.59,594.795,0,0
12463.0,52,4,776,1344.78,336.195,0,0
12464.0,9,8,112,1212.05,151.50625,0,0
12465.0,16,2,479,742.1899999999999,371.09499999999997,0,0
12468.0,187,2,366,729.5400000000001,364.77000000000004,1,1
12471.0,1,30,8200,19788.65,659.6216666666667,0,0
12472.0,31,7,4148,6572.11,938.8728571428571,0,0
12473.0,28,5,2414,3928.0499999999997,785.6099999999999,0,0
12474.0,16,18,4833,7324.09,406.8938888888889,0,0
12475.0,53,1,535,723.38,723.38,0,0
12476.0,15,11,2408,6816.42,619.6745454545454,0,0
12477.0,22,6,3653,13219.74,2203.29,0,0
12478.0,3,1,236,680.99,680.99,0,0
12479.0,10,1,385,527.2,527.2,0,0
12480.0,27,4,1707,3281.63,820.4075,0,0
12481.0,22,10,3294,5579.82,557.982,0,0
12483.0,16,8,1110,2484.98,310.6225,0,0
12484.0,32,6,2187,4527.32,754.5533333333333,0,0
12488.0,9,3,529,1298.66,432.8866666666667,0,0
12489.0,335,1,105,334.93,334.93,1,1
12490.0,4,10,3064,5417.93,541.793,0,0
12491.0,38,1,260,460.40000000000003,460.40000000000003,0,0
12492.0,62,2,192,263.21000000000004,131.60500000000002,0,0
12493.0,165,2,207,433.74,216.87,1,1
12494.0,15,7,707,1246.1000000000001,178.01428571428573,0,0
12497.0,81,1,1236,1043.1,1043.1,0,0
12498.0,20,3,159,403.70000000000005,134.5666666666667,0,0
12500.0,22,11,2678,4257.82,387.07454545454544,0,0
12501.0,336,1,1783,2169.39,2169.39,1,1
12502.0,95,5,820,3723.87,744.774,1,1
12504.0,17,2,90,482.04999999999995,241.02499999999998,0,0
12506.0,232,1,23,73.5,73.5,1,1
12507.0,133,3,894,1304.81,434.93666666666667,1,1
12508.0,25,2,271,397.88,198.94,0,0
12509.0,283,1,55,176.5,176.5,1,1
12510.0,142,2,353,982.5699999999999,491.28499999999997,1,1
12512.0,65,2,96,132.18,66.09,0,0
12513.0,112,1,462,612.29,612.29,1,1
12514.0,266,1,440,1017.68,1017.68,1,1
12515.0,352,1,131,383.7,383.7,1,1
12516.0,77,2,875,1312.06,656.03,0,0
12517.0,27,5,1361,2481.6,496.32,0,0
12518.0,0,5,1318,2056.89,411.378,0,0
12519.0,63,1,175,330.84,330.84,0,0
12520.0,78,5,1439,2634.26,526.8520000000001,0,0
12521.0,142,1,309,599.68,599.68,1,1
12522.0,38,2,194,192.72,96.36,0,0
12523.0,18,11,865,1789.77,162.70636363636365,0,0
12524.0,8,8,3699,4485.72,560.715,0,0
12526.0,0,3,632,1316.66,438.8866666666667,0,0
12527.0,81,3,234,348.71000000000004,116.23666666666668,0,0
12528.0,8,6,756,1933.48,322.24666666666667,0,0
12530.0,59,4,913,1662.28,415.57,0,0
12531.0,14,1,45,125.22,125.22,0,0
12532.0,29,1,153,349.83000000000004,349.83000000000004,0,0
12534.0,130,1,651,1089.18,1089.18,1,1
12535.0,91,2,219,716.35,358.175,1,1
12536.0,42,3,2803,12601.830000000002,4200.610000000001,0,0
12538.0,28,1,191,363.95,363.95,0,0
12539.0,21,4,2067,5568.35,1392.0875,0,0
12540.0,19,17,6685,13400.24,788.2494117647059,0,0
12541.0,29,3,680,981.18,327.06,0,0
12544.0,35,1,136,372.7,372.7,0,0
12545.0,74,2,523,1000.39,500.195,0,0
12546.0,46,2,633,1161.5,580.75,0,0
12547.0,197,2,134,207.79999999999998,103.89999999999999,1,1
12548.0,165,1,49,95.19999999999999,95.19999999999999,1,1
12550.0,78,1,569,964.83,964.83,0,0
12551.0,357,1,100,168.0,168.0,1,1
12552.0,38,2,88,437.82,218.91,0,0
12553.0,7,10,1965,3692.28,369.228,0,0
12556.0,49,2,355,599.56,299.78,0,0
12557.0,15,5,4384,11990.960000000001,2398.192,0,0
12558.0,7,1,196,269.96,269.96,0,0
12559.0,310,2,283,561.71,280.855,1,1
